Script Name,Category,Sector,Price (in rupees),Market Cap (in crores)
IKF Finance Limited,Unlisted,Financial Service,221.00,"1,492.517"
GKN Driveline India Limited,Delisted,Auto Ancillaries,"1,150.00","1,468.902"
Mohan Meakin Limited,Unlisted,Breweries & Distilleries,"1,650.00","1,403.899"
National Commodity And Derivatives Exchange Limited,Unlisted,Financial Service,275.00,"1,393.590"
Indofil Industries Limited,Unlisted,Pesticides,640.00,"1,369.600"
Arch Pharma Labs Limited,Delisted,Other,90.10,"1,368.826"
Manjushree Technopack Limited,Delisted,Packaging,"1,010.00","1,368.318"
Orbis Financial Corporation Limited,Unlisted,Financial Service,115.00,"1,306.780"
Capital Small Finance Bank Limited,Pre IPO,Financial Service,380.00,"1,304.865"
ESDS Software Solution Limited,Pre IPO,"IT, Software",225.00,"1,257.293"
Kannur International Airport Limited,Unlisted,Airport,93.00,"1,244.453"
Gandhar Oil Refinery India Limited,Unlisted,"Energy, Oil & Gas",300.00,"1,221.699"
Afcons Infrastructure Limited,Unlisted,Construction,34.00,"1,158.510"
India Exposition Mart Limited,Pre IPO,Other,135.00,"1,004.733"
SMC Global Securities Limited,Illiquid/unquoted,Financial Service,88.00,995.583
Ambadi Investments Limited,Unlisted,Investment & Holding,"4,000.00",977.209
Infrastructure Leasing And Financial Services Ltd,Unlisted,Infrastructure,70.00,898.823
A V Thomas And Company Limited,Unlisted,"Tea, Coffee & Plantation","16,750.00",787.585
Maharaja Shree Umaid Mills Limited,Delisted,"Textiles, Yarn, Cotton & Spinning",125.00,743.606
Kanara Consumer Products Ltd,Unlisted,Household Products,490.00,729.248
Dalmia Bharat Refractories Limited,Illiquid/unquoted,"Metal, Steel & Iron",148.00,654.162
Orissa Sponge Iron And Steel Limited,Suspended,"Metal, Steel & Iron",219.00,652.401
Vanaz Engineers Limited,Unlisted,Auto Ancillaries,"3,000.00",647.316
Lakeshore Hospital And Research Centre Limited,Unlisted,Hospital,64.00,640.000
Sital Leasing And Finance Limited,Illiquid/unquoted,Financial Service,10.00,612.574
Carol Info Services Limited,Delisted,"IT, Software",171.00,605.964
Sri Sarvaraya Sugars Limited,Illiquid/unquoted,Sugar,"1,920.00",585.232
Essel Mining and Industries Limited,Unlisted,Mining & Minerals,2.90,576.605
Axles India Limited,Unlisted,Auto Ancillaries,225.00,573.540
Deepak Industries Limited,Unlisted,Auto Components,"1,400.00",553.901
Trident India Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",1.10,549.939
Jolly Board Limited,Unlisted,Forestry & Wood,"12,000.00",545.604
Transformers And Electricals Kerala Limited,Delisted,Electric Equipment,125.00,537.092
Elofic Industries Limited,Unlisted,Auto Ancillaries,"2,100.00",526.758
Alba Polymers Limited,Illiquid/unquoted,Service,350.00,514.946
Roots Multiclean Limited,Unlisted,Other,"2,520.00",504.000
Parry Agro Industries Limited,Delisted,Agro Products,"1,200.00",450.818
Martin And Harris Laboratories Limited,Unlisted,Pharma,"1,080.00",431.572
Metropolitan Stock Exchange Of India Limited,Unlisted,Financial Service,0.86,414.107
Jana Small Finance Bank Limited,Unlisted,Financial Service,75.00,412.340
Frick India Limited,Illiquid/unquoted,Auto Ancillaries,"6,700.00",401.983
Lotte India Corporation Limited,Delisted,Other,350.00,380.232
Midland Microfin Limited,Unlisted,Financial Service,104.00,374.192
Balmer Lawrie Van Leer Limited,Unlisted,Packaging,199.00,357.699
Credo Mineral Industries Limited,Unlisted,Mining & Minerals,54.00,354.710
Ganga Care Hospital Limited,Unlisted,Healthcare,298.00,353.503
Akme Fintrade India Limited,Unlisted,NBFC,110.00,348.425
Hira Ferro Alloys Limited,Delisted,"Metal, Steel & Iron",150.00,347.828
Honeywell Electrical Devices And Systems India Limited,Unlisted,Electric Equipment,"3,600.00",342.590
Xerox India Limited,Delisted,Office Automation,74.10,332.027
U P Electricals Limited,Illiquid/unquoted,Electricals,172.65,317.900
Ring Plus Aqua Limited,Unlisted,Auto Components,405.00,314.145
Blossom Industries Limited,Unlisted,Breweries & Distilleries,85.00,313.579
Turanth Suraksha Insurance Web Aggregator Private Limited,Unlisted,Financial Service,700.00,308.147
Maharashtra Knowledge Corporation Limited,Unlisted,Education,380.00,307.047
Rasoi Limited,Delisted,FMCG,"31,500.00",304.290
Godavari Biorefineries Limited,Pre IPO,Miscellaneous,71.00,297.795
Eaton Fluid Power Limited,Unlisted,Power & Electricity,425.00,295.800
Gannon Dunkerley and Co Limited,Unlisted,Other,"1,100.00",295.680
Indian Commodity Exchange Limited,Unlisted,Financial Service,4.00,294.400
Moneytech Finlease Limited,Illiquid/unquoted,Financial Service,372.00,286.280
Eastern Investments Limited,Illiquid/unquoted,Financial Service,"2,000.00",283.791
ETA Karnataka Estates Limited,Unlisted,"Textiles, Yarn, Cotton & Spinning",130.00,279.583
Capricon Realty Limited,Unlisted,Real Estate,"300,006.00",269.915
Verum Properties Limited,Illiquid/unquoted,Real Estate,391.25,258.127
Schneider Electric President Systems Limited,Delisted,Electric Equipment,425.00,257.040
Hella India Lighting Limited,Unlisted,Auto Components,810.00,256.883
Panasonic Appliances India Company Limited,Delisted,Household Products,202.00,256.070
Garg Acrylics Limited,Illiquid/unquoted,Miscellaneous,383.75,254.917
San Engineering And Locomotive Company Limited,Unlisted,Auto Components,550.00,244.750
India Carbon Limited,Unlisted,Chemical,900.00,238.500
AMNS Ports India Limited,Unlisted,Shipping,35.10,231.956
NCL Buildtek Limited,Unlisted,Building Materials,200.00,231.400
UP Twiga Fiberglass Limited,Unlisted,Other,280.00,222.343
Mcnally Sayaji Engineering Limited,Illiquid/unquoted,Equipment,175.00,220.312
Hindusthan Engineering And Industries Limited,Unlisted,Other,144.00,216.011
Inkel Limited,Unlisted,Infrastructure,12.00,213.377
Wintac Limited,Delisted,Pharma,207.00,207.502
IHP Finvest Limited,Unlisted,Financial Service,"3,600.00",205.122
Malayalam Communications Limited,Unlisted,Entertainment,"25,000.00",197.280
Berar Finance Limited,Delisted,Financial Service,155.00,191.221
Nayara Energy Limited 8 NCD 15DC25 FVRS350,Delisted,"Energy, Oil & Gas",255.00,187.125
Pharmed Limited,Delisted,Healthcare,430.00,185.167
T Stanes and Company Limited,Unlisted,Hotel or Catering,770.00,182.196
Resins and Plastics Limited,Illiquid/unquoted,Other,415.00,173.150
Gujarat NRE Coke Limited,Suspended,Other,1.00,165.094
Bagrrys India Private Limited,Unlisted,FMCG,"2,100.00",161.618
Empire Spices and Foods Limited,Unlisted,FMCG,329.00,159.257
Maxvalue Credits And Investments Limited,Unlisted,Financial Service,5.10,158.891
Bliss Enterprises,Unlisted,Miscellaneous,18.00,154.625
J K Investo Trade India Limited,Delisted,Investment & Holding,210.00,153.766
Midland Rubber And Produce Co Ltd,Unlisted,"Tea, Coffee & Plantation","3,880.00",150.965
The Indian Steel And Wire Products Limited,Delisted,"Metal, Steel & Iron",250.00,149.797
Asiatic Oxygen Ltd,Unlisted,Chemical,900.00,148.687
Panasonic AVC Networks India Company Limited,Unlisted,Other,29.00,145.000
Mitsubishi Heavy Industries India Precision Tools Limited,Unlisted,Other,207.00,144.279
The Delhi Flour Mills Company Limited,Unlisted,Food & Beverages,720.13,131.480
Vajresh Consultants Limited,Unlisted,Other,110.00,126.072
J K Cotton Limited,Unlisted,"Textiles, Yarn, Cotton & Spinning",35.10,125.396
Asscher Enterprises Limited,Unlisted,Trading,111.00,125.293
The Ramaraju Surgical Cotton Mills Limited,Unlisted,"Textiles, Yarn, Cotton & Spinning",315.00,124.317
Bhishma Realty Limited,Unlisted,Real Estate,"125,100.00",123.749
The Hooghly Mills Company Ltd,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",150.00,119.070
The Mysore Lamp Work Ltd,Unlisted,Other,100.00,118.102
Proyuga Advanced Technologies Limited,Unlisted,Artificial Intelligence,25.00,113.388
Mohindra Fasteners Limited,Unlisted,Other,190.00,111.958
The Mysore Paper Mills Limited,Unlisted,Paper,9.00,107.004
Electronica Plastic Machines Limited,Delisted,Equipment,"4,100.00",104.977
Roop Ultrasonix Limited,Unlisted,Other,150.00,104.498
English Indian Clays Limited,Unlisted,Other,20.50,103.066
OEN India Limited,Delisted,Auto LCVS & HCVS,200.00,101.985
Arkfin Investments Private Limited,Unlisted,NBFC,50.00,100.231
Electronica Finance Limited,Delisted,NBFC,34.00,98.872
Bombay Swadeshi Stores Limited,Unlisted,Other,200.00,98.800
Mayasheel Retail India Limited,Unlisted,"Textiles, Yarn, Cotton & Spinning",32.00,94.400
MSE Financial Services Limited,Unlisted,Financial Service,7.00,93.877
Cable Corporation of India Ltd,Delisted,Cables,12.10,93.517
Balasore Alloys Limited,Suspended,Metal,10.00,93.325
Avlokiteshvar Valinv Limited,Unlisted,Financial Service,250.00,92.284
Anglo French Drugs And Industries Limited,Illiquid/unquoted,Pharma,745.00,91.887
Smile Micro Finance Limited,Unlisted,Financial Service,52.00,90.166
Anugraha Valve Castings Limited,Unlisted,Hotel or Catering,255.00,89.926
Mint Investments Limited,Illiquid/unquoted,Investment & Holding,162.00,89.748
ICL Fincorp Limited,Unlisted,Financial Service,20.10,89.113
Shivalik Agro Poly Products Ltd,Unlisted,Plastic,970.00,85.942
KLM Axiva Finvest Limited,Pre IPO,Financial Service,16.20,85.499
Partap Industries Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",399.70,85.332
Salaya Bulk Terminals Limited,Unlisted,Shipping,20.20,84.417
Beetel Teletech Limited,Unlisted,Telecomm,165.00,84.012
Apex Auto Limited,Unlisted,Auto Components,150.00,83.010
SPML India Limited,Illiquid/unquoted,Financial Service,20.45,80.625
Consolidated Construction Consortium Limited,Delisted,Construction,2.00,79.702
Merind Limited,Delisted,Other,216.00,78.667
Webfil Limited,Unlisted,Digital Equipment,92.00,78.499
Naga Limited,Illiquid/unquoted,FMCG,55.00,78.364
Dalmia Laminators Limited,Illiquid/unquoted,Other,191.00,78.024
Sunayana Investment Company Limited,Illiquid/unquoted,Investment & Holding,34.00,75.623
Genesis Finance Company Limited,Illiquid/unquoted,Financial Service,15.95,74.003
Gammon India Limited,Suspended,Building Materials,2.00,73.769
Kingfisher Airlines Limited,Delisted,Other,0.91,73.594
Sree Satyanarayana Spinning Mills Ltd,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",700.00,73.507
ELGI Ultra Industries Limited,Unlisted,Household Products,400.00,72.396
KCL Limited,Illiquid/unquoted,Paper,233.00,69.902
Guindy Machine Tools Limited,Unlisted,Equipment,191.00,69.367
Premier Cryogenics Limited,Unlisted,"Energy, Oil & Gas",140.00,68.935
Sasvitha Home Finance Limited,Unlisted,Financial Service,25.00,67.223
Tarini Enterprises Limited,Illiquid/unquoted,Retail,198.60,66.988
Anand I Power Limited,Delisted,Auto Ancillaries,20.00,66.673
Market Simplified India Limited,Unlisted,"IT, Software",44.00,66.076
Vam Holdings Limited,Unlisted,Investment & Holding,"1,800.00",65.646
Placid Limited,Unlisted,NBFC,"1,207.00",64.827
Absolute Sports Private Limited,Unlisted,Media,"3,303.00",62.316
Manipal Housing Finance Syndicate Limited,Unlisted,Financial Service,72.50,61.662
Sri Vishnu Shankar Mill Limited,Unlisted,"Textiles, Yarn, Cotton & Spinning",405.00,60.750
ACS Technologies Limited,Unlisted,"IT, Software",39.00,57.517
Gobind Sugar Mills Limited,Unlisted,Other,125.00,55.913
Mewar Polytex Limited,Delisted,"Textiles, Yarn, Cotton & Spinning",171.00,55.233
Assam Carbon Products Limited,Unlisted,Electricity,200.00,55.112
BGSE Properties and Securities Limited,Unlisted,Financial Service,15.00,55.038
Mysore Paints And Varnish Limited,Unlisted,Paint & Varnishes,520.00,53.901
Farmax India Limited,Delisted,FMCG,1.00,53.417
Auckland International Limited,Unlisted,Hotel or Catering,129.00,52.978
Marvel Vinyls Limited,Delisted,Other,124.00,52.758
U P Asbestos Limited,Illiquid/unquoted,Construction,57.00,51.911
Sri Kannapiran Mills Limited,Unlisted,"Textiles, Yarn, Cotton & Spinning",95.00,51.489
Kamarhatty Company Limited,Unlisted,Hotel or Catering,90.00,50.553
Amtek Auto Limited,Suspended,Auto Components,2.00,49.651
Sri Chamundeswari Sugars Limited,Delisted,Sugar,20.00,48.909
Pratibha Industries Limited,Suspended,Engineering,2.00,47.719
Kusum Industrial Gases Limited,Unlisted,"Energy, Oil & Gas",400.00,47.501
The Travancore Rubber and Tea Company,Unlisted,"Tea, Coffee & Plantation","1,150.00",47.150
BT Syndicate Limited,Illiquid/unquoted,Bank,4.55,46.724
SVOGL Oil Gas and Energy Limited,Delisted,"Energy, Oil & Gas",10.00,46.361
Oswal Minerals Limited,Illiquid/unquoted,Mining & Minerals,60.10,45.378
BS Limited,Delisted,Electric Equipment,1.00,44.168
SBI Home Finance Limited,Suspended,NBFC,29.10,43.650
Sterling Biotech Limited,Suspended,Chemical,1.00,43.304
APL Metals Limited,Illiquid/unquoted,Hotel or Catering,40.00,42.906
Sri Chakra Cement Limited,Delisted,Cement,47.10,42.390
Amol Minechem Limited,Unlisted,Electricity,515.00,42.185
Trans Globe Textiles Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",180.00,40.709
Hicks Thermometers India Limited,Unlisted,Healthcare,"1,450.00",39.948
Badra Estates And Industries Limited,Unlisted,Other,"1,125.00",39.545
Rydak Syndicate Limited,Unlisted,Agriculture & Agro Products,400.00,38.925
Prudential Sugar Corporation Limited,Suspended,Food & Drinks,12.00,38.702
North Eastern Publishing And Advertising Co Ltd,Illiquid/unquoted,Publication,9.30,37.671
Amalgamations Repco Limited,Unlisted,Auto Components,392.00,37.157
MIL Industries Limited,Unlisted,Other,117.00,36.855
The Scottish Assam India Limited,Unlisted,"Tea, Coffee & Plantation",446.00,35.680
Manikaran Power Limited,Unlisted,Power & Electricity,10.00,35.353
Bihariji Ispat Udyog Limited,Illiquid/unquoted,Financial Service,58.00,34.800
NCL Holdings Limited,Unlisted,Investment & Holding,60.00,34.710
Hemadri Cements Limited,Illiquid/unquoted,Cement,52.00,34.684
AdTech Systems Limited,Illiquid/unquoted,Financial Service,29.10,34.670
Purbanchal Prestressed Limited,Illiquid/unquoted,Financial Service,8.65,34.573
Marble Finvest Limited,Illiquid/unquoted,Financial Service,123.35,34.526
ASEL Financial Services Limited,Unlisted,Financial Service,46.10,34.470
DEYS Medical Stores Manufacturing Limited,Unlisted,Pharma,400.00,34.047
The Calcutta Stock Exchange Limited,Unlisted,Financial Service,550.00,33.619
Uniply Industries Limited,Suspended,Miscellaneous,2.00,33.529
Operational Energy Group India Limited,Illiquid/unquoted,Power & Electricity,25.70,33.517
DSE Estates Limited,Unlisted,Financial Service,11.00,33.438
East India Pharmaceutical Works Limited,Unlisted,Pharma,49.00,32.708
Essar Ports Limited,Unlisted,Other,10.01,32.620
MIL Industries And Aerospace Limited,Unlisted,AEROSPACE,100.00,31.500
Rajlaxmi Industries Limited,Suspended,"Textiles, Yarn, Cotton & Spinning",1.00,31.000
Bhatkawa Tea Industries Limited,Illiquid/unquoted,Hotel or Catering,136.00,30.464
Fancy Fittings Limited,Illiquid/unquoted,Miscellaneous,93.40,30.430
Down Town Hospital Limited,Unlisted,Hospital,100.00,30.000
Bijni Dooars Tea Co Ltd,Illiquid/unquoted,"Tea, Coffee & Plantation",500.00,30.000
Jagadishwar Pharmaceuticals Works Limited,Illiquid/unquoted,Pharma,10.01,29.730
Bateli Tea Company Limited,Unlisted,Other,"1,350.00",28.921
Svarnim Trade Udyog Limited,Illiquid/unquoted,Trading,117.00,28.449
Pine Animation Limited,Suspended,"IT, Software",1.00,27.700
Nicco Corporation Limited,Delisted,Engineering,2.00,26.375
Sigachi Laboratories Limited,Illiquid/unquoted,Pharma,39.00,26.337
Sistema Smart Technologies Limited,Unlisted,Telecomm,0.11,26.335
Ganodaya Finlease Limited,Illiquid/unquoted,NBFC,39.15,25.448
LCC Infotech Limited,Delisted,"IT, Software",2.00,25.319
Ashapura Intimates Fashion Limited,Suspended,"Textiles, Yarn, Cotton & Spinning",10.01,25.237
Dr Fresh Assets Limited,Illiquid/unquoted,Real Estate,45.00,24.596
Medexport India Limited,Illiquid/unquoted,Trading,35.00,24.500
Kwality Limited,Suspended,FMCG,1.00,24.135
Hardoli Paper Mills Limited,Illiquid/unquoted,Paper,89.00,23.961
Intertec Technologies Limited,Illiquid/unquoted,Miscellaneous,31.35,23.703
The Birla Cotton Spinning and Weaving Mills Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",205.00,23.456
Rajparis Civil Constructions Limited,Illiquid/unquoted,Real Estate,57.25,23.348
Kashipur Holdings Limited,Unlisted,Miscellaneous,100.00,22.772
B S Refrigerators Limited,Delisted,Consumer Durable,10.00,22.593
Chitrakut Holdings Limited,Illiquid/unquoted,Financial Service,30.40,22.253
Jardine Henderson Limited,Unlisted,Miscellaneous,"1,100.00",22.000
Indo Alusys Industries Limited,Unlisted,Metal,25.75,21.908
New Chumta  Tea Company limited,Unlisted,"Tea, Coffee & Plantation",100.00,21.400
Ranicherra Tea Company  Limited,Unlisted,"Tea, Coffee & Plantation",82.00,21.320
Rainbow Papers Limited,Suspended,Paper,2.00,21.243
Bharat NRE Coke Limited,Delisted,Mining & Minerals,1.00,21.169
Bil Energy Systems Ltd,Suspended,Power & Electricity,1.00,21.142
Arcotech Limited,Suspended,Metal,2.00,21.000
The Delhi Safe Deposit Company Limited,Illiquid/unquoted,Other,40.00,20.892
Akash Agro Industries Limited,Illiquid/unquoted,Agriculture & Agro Products,50.60,20.699
Pearl Apartments Limited,Illiquid/unquoted,Miscellaneous,411.90,20.595
Cyber Media Research and Services Limited,Pre IPO,Media,190.00,20.305
Jotindra Steel And Tubes Limited,Illiquid/unquoted,Real Estate,41.00,19.978
Amitabh Bachchan Corporation Pvt Ltd,Unlisted,Entertainment,4.00,19.509
Reliance Mediaworks Limited,Delisted,Media,1.00,19.321
Sangrahalaya Timber and Crafts Limited,Illiquid/unquoted,Financial Service,9.25,18.509
The Nelliampathy Tea and Produce Company Limited,Unlisted,"Tea, Coffee & Plantation",370.00,18.102
Kumar Autocast Limited,Illiquid/unquoted,Casting & Forgings,17.15,17.791
Haldia Petrochemicals Limited,Unlisted,"Energy, Oil & Gas",0.10,16.879
JVL Agro Industries Limited,Suspended,Agro Products,1.00,16.794
Swati Projects Limited,Illiquid/unquoted,Financial Service,16.01,16.170
Madbow Ventures Limited,Unlisted,Retail,34.00,15.980
Peirce Leslie India Limited,Unlisted,Service,52.00,15.905
Patels Airflow Limited,Unlisted,Other,70.00,15.751
Starlite Global Enterprises India Limited,Illiquid/unquoted,Real Estate,38.85,15.434
Pact Industries Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",2.75,15.237
Merit Credit Corporation Limited,Illiquid/unquoted,Financial Service,24.70,14.820
Lakshmi Energy and Foods Limited,Suspended,Food & Drinks,2.00,14.726
The Methoni Tea Company Limited,Unlisted,Hotel or Catering,162.00,14.710
OCL Iron And Steel Ltd,Suspended,"Metal, Steel & Iron",1.00,14.531
Sterling Estates and Properties Limited,Illiquid/unquoted,Real Estate,43.85,14.471
Hindustan Dorr Oliver Limited,Delisted,Construction,2.00,14.401
Metkore Alloys  and  Industries Limited,Suspended,Metal,2.00,14.085
Dewas Metal Sections Limited,Unlisted,"Metal, Steel & Iron",45.00,13.995
Agarwal Duplex Board Mills Limited,Illiquid/unquoted,Paper,1.00,13.500
Birla Cotsyn India Limited,Delisted,"Textiles, Yarn, Cotton & Spinning",0.05,13.433
Tunwal E Motors Private Limited,Unlisted,Other,130.00,13.374
Virat Leasing Limited,Delisted,Investment & Holding,10.10,13.110
Vijay Shanthi Builders Limited,Delisted,Real Estate,5.00,13.094
Arraycom India Limited,Unlisted,Other,26.10,13.050
Silicon Valley Infotech Limited,Delisted,"IT, Software",1.00,12.968
Rathi Industries Limited,Illiquid/unquoted,"Metal, Steel & Iron",20.00,12.920
Reliance Broadcast Network Limited,Delisted,Media,0.10,12.795
Silverline Technologies Limited,Delisted,"IT, Software",2.10,12.597
East West Hotels Limited,Unlisted,Hotel or Catering,351.00,12.505
AKC Steel Industries Limited,Unlisted,"Metal, Steel & Iron",30.00,12.450
Meenakshi Mercantiles Limited,Illiquid/unquoted,Financial Service,10.00,12.239
Sangameshwar Coffee Estates Limited,Unlisted,"Tea, Coffee & Plantation",95.00,11.991
Central Cables Limited,Illiquid/unquoted,Cables,73.20,11.895
High Ground Enterprise Limited,Suspended,Engineering,1.00,11.512
Manpasand Beverages Limited,Suspended,Other,1.00,11.446
MPL Enterprises Limited,Unlisted,NBFC,39.80,11.304
Cremica Agro Foods Limited,Illiquid/unquoted,Food & Drinks,25.10,11.284
Kirti Investments Limited,Illiquid/unquoted,Investment & Holding,5.00,11.000
Robert Resources Limited,Illiquid/unquoted,Trading,10.70,10.962
Steadfast Corporation Limited,Illiquid/unquoted,Miscellaneous,14.91,10.632
Balaji Agro Oils Limited,Illiquid/unquoted,Agro Products,10.05,10.630
Visisth Chay Vyapar Limited,Illiquid/unquoted,Financial Service,5.30,10.599
Kesoram Textile Mills Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",2.01,10.509
Deepjyoti Textiles Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",20.80,10.421
Gemini Communication Limited,Delisted,"IT, Software",1.00,10.415
SSF Limited,Illiquid/unquoted,Retail,15.50,10.318
Ace Exports Limited,Illiquid/unquoted,Footwear,19.00,10.246
India Stuffyarn Limited,Illiquid/unquoted,Trading,180.00,10.224
AKS Credits Limited,Illiquid/unquoted,Financial Service,9.15,10.065
The Bormah Jan Tea Company 1936 Limited,Unlisted,Agriculture & Agro Products,800.00,10.000
John Oakey And Mohan Limited,Unlisted,Forestry & Wood,205.00,9.917
Auckland Jute Co Limited,Unlisted,Other,36.00,9.883
Balanoor Plantations and Industries Limited,Unlisted,"Tea, Coffee & Plantation",160.00,9.868
